parameter_1,parameter_2,correlation,absolute_correlation
accelerometer_noise_std_mps2,gyro_bias_z_degps,0.11018159239758785,0.11018159239758785
gyro_bias_z_degps,initial_position_error_y_m,0.1092902979926144,0.1092902979926144
pseudorange_noise_std_m,gyro_bias_x_degps,0.10904172024523638,0.10904172024523638
gyro_noise_std_degps,initial_position_error_x_m,-0.10847044001280304,0.10847044001280304
initial_velocity_error_x_mps,initial_velocity_error_z_mps,-0.10819419331511788,0.10819419331511788
initial_position_error_x_m,dual_outage_duration_min,0.10724004965920636,0.10724004965920636
gyro_bias_z_degps,fault_magnitude_m,-0.10700066871559945,0.10700066871559945
gyro_bias_y_degps,gyro_bias_z_degps,0.10572896927180304,0.10572896927180304
gyro_bias_x_degps,gyro_bias_y_degps,0.10570855260657422,0.10570855260657422
accelerometer_bias_x_mps2,fault_duration_min,0.10355894388039937,0.10355894388039937
initial_position_error_y_m,non_gravitational_acceleration_mps2,-0.1020010310871385,0.1020010310871385
accelerometer_bias_x_mps2,accelerometer_bias_y_mps2,-0.10165895887707452,0.10165895887707452
gyro_noise_std_degps,initial_velocity_error_z_mps,-0.10143313459118795,0.10143313459118795
gyro_bias_y_degps,star_tracker_outage_duration_min,0.1011247780338255,0.1011247780338255
pseudorange_noise_std_m,fault_magnitude_m,0.10110544395542197,0.10110544395542197
star_tracker_noise_std_deg,dual_outage_duration_min,0.09993342435797825,0.09993342435797825
initial_position_error_z_m,dual_outage_duration_min,0.09933232689565268,0.09933232689565268
star_tracker_noise_std_deg,fault_magnitude_m,-0.0987383198642716,0.0987383198642716
initial_velocity_error_y_mps,star_tracker_outage_duration_min,-0.0983494504432643,0.0983494504432643
accelerometer_bias_x_mps2,dual_outage_duration_min,-0.09640718832163916,0.09640718832163916
accelerometer_noise_std_mps2,gyro_bias_y_degps,-0.0950914570447733,0.0950914570447733
accelerometer_noise_std_mps2,initial_velocity_error_y_mps,-0.09479570137082274,0.09479570137082274
accelerometer_bias_y_mps2,initial_position_error_y_m,-0.0947734682721238,0.0947734682721238
star_tracker_noise_std_deg,gnss_outage_duration_min,-0.0945920898747466,0.0945920898747466
accelerometer_bias_z_mps2,fault_duration_min,-0.09444984552288924,0.09444984552288924
gyro_noise_std_degps,gnss_outage_duration_min,-0.09412554189199492,0.09412554189199492
pseudorange_noise_std_m,gyro_bias_z_degps,0.093949141051763,0.093949141051763
accelerometer_noise_std_mps2,initial_velocity_error_x_mps,-0.09381796775578918,0.09381796775578918
star_tracker_noise_std_deg,fault_start_min,-0.09339358993888372,0.09339358993888372
accelerometer_bias_y_mps2,star_tracker_outage_duration_min,-0.09233233528759141,0.09233233528759141
accelerometer_bias_y_mps2,initial_velocity_error_x_mps,-0.09192908967068968,0.09192908967068968
initial_position_error_z_m,gnss_outage_duration_min,0.0874711555753445,0.0874711555753445
accelerometer_noise_std_mps2,dual_outage_duration_min,-0.08654850949498824,0.08654850949498824
accelerometer_bias_z_mps2,initial_position_error_y_m,-0.08526997369948786,0.08526997369948786
initial_position_error_z_m,non_gravitational_acceleration_mps2,0.08490431067827207,0.08490431067827207
gyro_noise_std_degps,gyro_bias_x_degps,-0.08475311269951326,0.08475311269951326
gyro_bias_z_degps,initial_velocity_error_x_mps,-0.08410615606861171,0.08410615606861171
initial_velocity_error_x_mps,dual_outage_duration_min,-0.08336412294008677,0.08336412294008677
gyro_bias_z_degps,star_tracker_noise_std_deg,0.08184868904152502,0.08184868904152502
accelerometer_bias_z_mps2,star_tracker_noise_std_deg,-0.08150940337815975,0.08150940337815975
accelerometer_bias_z_mps2,fault_start_min,-0.08150879635377357,0.08150879635377357
initial_velocity_error_x_mps,initial_velocity_error_y_mps,0.08070154936319483,0.08070154936319483
fault_duration_min,star_tracker_outage_duration_min,0.07993889287697034,0.07993889287697034
gyro_bias_x_degps,dual_outage_duration_min,-0.07870845989033894,0.07870845989033894
star_tracker_noise_std_deg,initial_velocity_error_x_mps,-0.07842349418413291,0.07842349418413291
accelerometer_bias_y_mps2,non_gravitational_acceleration_mps2,0.07802087064383662,0.07802087064383662
gyro_noise_std_degps,gyro_bias_z_degps,0.07750742973786946,0.07750742973786946
accelerometer_bias_x_mps2,star_tracker_noise_std_deg,-0.07659981856342203,0.07659981856342203
accelerometer_bias_y_mps2,fault_duration_min,0.076591681135875,0.076591681135875
star_tracker_noise_std_deg,initial_position_error_z_m,-0.07510728546705793,0.07510728546705793
accelerometer_bias_z_mps2,non_gravitational_acceleration_mps2,-0.07493963000377844,0.07493963000377844
gyro_bias_y_degps,fault_start_min,0.07246177593663995,0.07246177593663995
accelerometer_noise_std_mps2,gnss_outage_duration_min,0.07218740123877683,0.07218740123877683
pseudorange_noise_std_m,dual_outage_duration_min,-0.07092614150490961,0.07092614150490961
fault_magnitude_m,fault_duration_min,-0.07038087733623662,0.07038087733623662
initial_velocity_error_z_mps,star_tracker_outage_duration_min,0.069100213658737,0.069100213658737
pseudorange_noise_std_m,gnss_outage_duration_min,-0.0674484179893664,0.0674484179893664
initial_velocity_error_y_mps,fault_start_min,-0.06698901607203821,0.06698901607203821
pseudorange_noise_std_m,accelerometer_bias_y_mps2,0.06629253468269532,0.06629253468269532
fault_duration_min,gnss_outage_duration_min,0.06613362513040194,0.06613362513040194
accelerometer_bias_x_mps2,fault_start_min,-0.0660280825132529,0.0660280825132529
pseudorange_noise_std_m,fault_start_min,-0.065754044987487,0.065754044987487
initial_velocity_error_z_mps,fault_magnitude_m,-0.06515167109765745,0.06515167109765745
gyro_bias_x_degps,non_gravitational_acceleration_mps2,-0.06377724375312573,0.06377724375312573
gyro_bias_x_degps,fault_start_min,0.06345518854227979,0.06345518854227979
gyro_bias_z_degps,dual_outage_duration_min,0.06267615628190894,0.06267615628190894
accelerometer_bias_y_mps2,initial_position_error_z_m,0.06165109541160106,0.06165109541160106
initial_velocity_error_x_mps,fault_duration_min,-0.05930057658953269,0.05930057658953269
initial_position_error_z_m,fault_start_min,-0.05899894507402738,0.05899894507402738
accelerometer_noise_std_mps2,initial_position_error_z_m,-0.05894959636492357,0.05894959636492357
accelerometer_bias_z_mps2,fault_magnitude_m,0.05863168573308607,0.05863168573308607
star_tracker_noise_std_deg,initial_velocity_error_z_mps,-0.05854273898049447,0.05854273898049447
gyro_bias_x_degps,initial_position_error_z_m,0.0583915126707048,0.0583915126707048
gyro_noise_std_degps,initial_position_error_y_m,0.058202049449941166,0.058202049449941166
pseudorange_noise_std_m,gyro_bias_y_degps,0.05684848430204054,0.05684848430204054
pseudorange_noise_std_m,initial_position_error_y_m,0.05676425877921637,0.05676425877921637
star_tracker_noise_std_deg,star_tracker_outage_duration_min,0.05583042283530647,0.05583042283530647
accelerometer_bias_y_mps2,fault_start_min,-0.055380218888375195,0.055380218888375195
accelerometer_bias_z_mps2,gnss_outage_duration_min,0.055277387015366136,0.055277387015366136
accelerometer_noise_std_mps2,accelerometer_bias_y_mps2,-0.054673160973493215,0.054673160973493215
gyro_bias_y_degps,gnss_outage_duration_min,-0.05410198113461748,0.05410198113461748
gyro_bias_y_degps,initial_position_error_y_m,-0.053771066879763935,0.053771066879763935
accelerometer_bias_z_mps2,initial_position_error_x_m,-0.053483502803379726,0.053483502803379726
accelerometer_noise_std_mps2,fault_duration_min,0.05337751624121379,0.05337751624121379
gyro_bias_y_degps,fault_magnitude_m,0.052146954921224085,0.052146954921224085
accelerometer_bias_x_mps2,gyro_bias_x_degps,-0.05181147781554676,0.05181147781554676
non_gravitational_acceleration_mps2,dual_outage_duration_min,-0.05153930979084378,0.05153930979084378
initial_position_error_y_m,fault_duration_min,0.049375719893595675,0.049375719893595675
accelerometer_bias_z_mps2,initial_position_error_z_m,0.0488605530938907,0.0488605530938907
gyro_bias_y_degps,initial_velocity_error_x_mps,-0.04784806359731272,0.04784806359731272
accelerometer_noise_std_mps2,fault_magnitude_m,-0.04749432758723484,0.04749432758723484
accelerometer_bias_x_mps2,initial_position_error_y_m,0.04722419733068273,0.04722419733068273
initial_velocity_error_x_mps,fault_start_min,0.04706520728763136,0.04706520728763136
gyro_bias_z_degps,initial_position_error_z_m,0.04672549931622936,0.04672549931622936
accelerometer_noise_std_mps2,star_tracker_outage_duration_min,0.04624884303696948,0.04624884303696948
accelerometer_bias_y_mps2,gnss_outage_duration_min,0.046080256300731925,0.046080256300731925
accelerometer_bias_y_mps2,gyro_bias_z_degps,-0.04585674334169209,0.04585674334169209
initial_velocity_error_z_mps,fault_start_min,-0.045657275231539604,0.045657275231539604
initial_velocity_error_z_mps,dual_outage_duration_min,0.045337437214911146,0.045337437214911146
initial_velocity_error_y_mps,fault_magnitude_m,-0.04476104730074668,0.04476104730074668
accelerometer_noise_std_mps2,accelerometer_bias_x_mps2,0.04381339709955315,0.04381339709955315
pseudorange_noise_std_m,accelerometer_bias_x_mps2,-0.04366856914585302,0.04366856914585302
initial_position_error_x_m,fault_start_min,0.0423819261358194,0.0423819261358194
fault_start_min,gnss_outage_duration_min,-0.04093484275182686,0.04093484275182686
gyro_bias_z_degps,gnss_outage_duration_min,-0.03992261142802793,0.03992261142802793
fault_start_min,star_tracker_outage_duration_min,0.039599079668892555,0.039599079668892555
accelerometer_bias_x_mps2,initial_velocity_error_y_mps,-0.03850117953996922,0.03850117953996922
gyro_bias_y_degps,initial_velocity_error_z_mps,-0.038284914486102335,0.038284914486102335
accelerometer_bias_x_mps2,initial_velocity_error_z_mps,0.03785020121508132,0.03785020121508132
non_gravitational_acceleration_mps2,fault_start_min,-0.0377809231415741,0.0377809231415741
initial_position_error_z_m,initial_velocity_error_z_mps,-0.036987963085421065,0.036987963085421065
initial_position_error_y_m,initial_position_error_z_m,-0.0364744883117083,0.0364744883117083
fault_magnitude_m,gnss_outage_duration_min,-0.036266293536188154,0.036266293536188154
non_gravitational_acceleration_mps2,fault_duration_min,-0.036138386740270784,0.036138386740270784
initial_position_error_x_m,initial_velocity_error_y_mps,-0.03613788076868686,0.03613788076868686
accelerometer_bias_y_mps2,initial_velocity_error_y_mps,0.03467952121761351,0.03467952121761351
non_gravitational_acceleration_mps2,gnss_outage_duration_min,-0.03435675539212652,0.03435675539212652
pseudorange_noise_std_m,initial_position_error_z_m,0.03396710199657944,0.03396710199657944
pseudorange_noise_std_m,fault_duration_min,-0.03342916381498547,0.03342916381498547
accelerometer_bias_y_mps2,initial_velocity_error_z_mps,0.03281155274487859,0.03281155274487859
accelerometer_bias_x_mps2,initial_velocity_error_x_mps,0.03246182855859836,0.03246182855859836
accelerometer_bias_x_mps2,initial_position_error_x_m,0.0324318289534881,0.0324318289534881
initial_velocity_error_x_mps,gnss_outage_duration_min,0.0316511567660603,0.0316511567660603
initial_velocity_error_z_mps,fault_duration_min,-0.030922558125898322,0.030922558125898322
accelerometer_bias_y_mps2,gyro_bias_y_degps,0.03020003006713184,0.03020003006713184
non_gravitational_acceleration_mps2,star_tracker_outage_duration_min,0.029853826466904057,0.029853826466904057
accelerometer_bias_z_mps2,initial_velocity_error_z_mps,0.029693358728178323,0.029693358728178323
gyro_noise_std_degps,non_gravitational_acceleration_mps2,-0.028783527737921172,0.028783527737921172
gyro_bias_x_degps,fault_magnitude_m,-0.02864570546640274,0.02864570546640274
gyro_bias_y_degps,star_tracker_noise_std_deg,0.02733936315745255,0.02733936315745255
star_tracker_noise_std_deg,non_gravitational_acceleration_mps2,-0.02650136115375463,0.02650136115375463
accelerometer_bias_z_mps2,gyro_bias_x_degps,0.02555290797733715,0.02555290797733715
accelerometer_noise_std_mps2,initial_position_error_x_m,0.024978116807617443,0.024978116807617443
fault_start_min,fault_duration_min,0.024939151365804515,0.024939151365804515
gyro_noise_std_degps,initial_velocity_error_y_mps,-0.02440348466096522,0.02440348466096522
pseudorange_noise_std_m,initial_velocity_error_y_mps,-0.02306966569513773,0.02306966569513773
gnss_outage_duration_min,dual_outage_duration_min,0.022416025781737684,0.022416025781737684
initial_velocity_error_y_mps,dual_outage_duration_min,-0.02230848904077459,0.02230848904077459
star_tracker_noise_std_deg,initial_position_error_x_m,-0.022041142439257082,0.022041142439257082
accelerometer_bias_z_mps2,gyro_noise_std_degps,0.021692388345356386,0.021692388345356386
initial_position_error_x_m,fault_magnitude_m,0.021118277271623048,0.021118277271623048
gyro_bias_y_degps,non_gravitational_acceleration_mps2,0.020164921315623564,0.020164921315623564
initial_velocity_error_z_mps,non_gravitational_acceleration_mps2,0.01857111245358043,0.01857111245358043
star_tracker_noise_std_deg,initial_position_error_y_m,0.018188474632556396,0.018188474632556396
fault_magnitude_m,fault_start_min,0.017621368259087392,0.017621368259087392
gyro_noise_std_degps,fault_start_min,0.01726762590033534,0.01726762590033534
gyro_bias_z_degps,initial_position_error_x_m,-0.016905515223820434,0.016905515223820434
fault_start_min,dual_outage_duration_min,0.016699864032071122,0.016699864032071122
gyro_bias_z_degps,initial_velocity_error_z_mps,0.01622085592657414,0.01622085592657414
gyro_bias_x_degps,fault_duration_min,-0.016152061342774346,0.016152061342774346
gyro_noise_std_degps,dual_outage_duration_min,0.015738035007343096,0.015738035007343096
gyro_bias_x_degps,initial_position_error_y_m,0.015497581898185203,0.015497581898185203
initial_position_error_x_m,gnss_outage_duration_min,0.015284341997378017,0.015284341997378017
initial_velocity_error_x_mps,non_gravitational_acceleration_mps2,0.013441833204489485,0.013441833204489485
pseudorange_noise_std_m,initial_velocity_error_z_mps,-0.012952693162047356,0.012952693162047356
initial_velocity_error_y_mps,initial_velocity_error_z_mps,-0.01291447275191986,0.01291447275191986
fault_magnitude_m,dual_outage_duration_min,-0.012831134697096128,0.012831134697096128
accelerometer_bias_y_mps2,fault_magnitude_m,-0.012771055297418702,0.012771055297418702
initial_position_error_x_m,initial_velocity_error_x_mps,-0.011808616411519283,0.011808616411519283
accelerometer_bias_z_mps2,initial_velocity_error_x_mps,0.009484376346562474,0.009484376346562474
initial_velocity_error_y_mps,non_gravitational_acceleration_mps2,0.008276802944748283,0.008276802944748283
accelerometer_bias_x_mps2,initial_position_error_z_m,0.008001322245278192,0.008001322245278192
initial_position_error_z_m,fault_magnitude_m,-0.00781859643413421,0.00781859643413421
gyro_bias_y_degps,initial_position_error_z_m,-0.007020985090620004,0.007020985090620004
gyro_bias_x_degps,star_tracker_noise_std_deg,0.004713289318455581,0.004713289318455581
accelerometer_bias_z_mps2,dual_outage_duration_min,0.004500587272403346,0.004500587272403346
accelerometer_noise_std_mps2,initial_velocity_error_z_mps,-0.002781730978070536,0.002781730978070536
accelerometer_bias_y_mps2,star_tracker_noise_std_deg,0.00204175062673064,0.00204175062673064
fault_magnitude_m,star_tracker_outage_duration_min,-0.001969789585622538,0.001969789585622538
gnss_outage_duration_min,star_tracker_outage_duration_min,-0.0019015789683502066,0.0019015789683502066
accelerometer_bias_y_mps2,dual_outage_duration_min,-0.001700524095694518,0.001700524095694518
gyro_noise_std_degps,star_tracker_outage_duration_min,0.0015961202971737072,0.0015961202971737072
gyro_noise_std_degps,fault_duration_min,0.0008719820882224962,0.0008719820882224962
